               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.025231,           0.0049966,           0.0074892,             0.72355,             0.56956,             0.67963,             0.51943,            0.030066,            0.010313,             0.06199,            0.007426,            0.007426,            0.007426
                  80,            0.023762,           0.0047435,           0.0073199,             0.68618,             0.58051,             0.67407,             0.51892,            0.030682,            0.010384,            0.058081,            0.007393,            0.007393,            0.007393
                  81,            0.022536,           0.0046597,           0.0077482,             0.63139,             0.71006,             0.73892,             0.55807,            0.027378,            0.011366,             0.04086,             0.00736,             0.00736,             0.00736
                  82,            0.023136,           0.0050093,           0.0069773,             0.66409,              0.7488,              0.7844,             0.62198,            0.026697,            0.011485,            0.031677,            0.007327,            0.007327,            0.007327
                  83,            0.023397,           0.0046427,           0.0063652,             0.76753,             0.64081,             0.79269,              0.6184,            0.028423,            0.011098,            0.030409,            0.007294,            0.007294,            0.007294
                  84,            0.023957,           0.0046565,           0.0061226,             0.80839,             0.56981,             0.77576,              0.5889,            0.029149,             0.01188,            0.029663,            0.007261,            0.007261,            0.007261
                  85,            0.023863,           0.0049092,           0.0066314,             0.77079,             0.62924,             0.78538,             0.61834,            0.026457,             0.01207,            0.030569,            0.007228,            0.007228,            0.007228
                  86,             0.02219,           0.0045974,            0.007335,             0.80274,             0.55498,             0.74957,             0.56624,             0.02921,            0.010921,            0.043808,            0.007195,            0.007195,            0.007195
                  87,            0.021853,           0.0048161,           0.0066368,             0.73625,             0.60943,             0.66948,             0.49479,            0.028011,            0.011105,            0.045721,            0.007162,            0.007162,            0.007162
                  88,               0.023,           0.0045397,           0.0047107,             0.69859,             0.61277,             0.70098,             0.48339,            0.034348,            0.011277,            0.050098,            0.007129,            0.007129,            0.007129
                  89,            0.023408,           0.0046331,           0.0069271,             0.71752,             0.66691,             0.77541,             0.59461,            0.027948,            0.011736,            0.038809,            0.007096,            0.007096,            0.007096
                  90,            0.023662,           0.0049299,           0.0052947,             0.71837,             0.64915,             0.78042,             0.58465,            0.030886,            0.011712,            0.043954,            0.007063,            0.007063,            0.007063
                  91,            0.020894,           0.0044126,           0.0058718,             0.81471,             0.63562,             0.80367,             0.63203,            0.027093,            0.011243,            0.037738,             0.00703,             0.00703,             0.00703
                  92,            0.022578,           0.0045471,           0.0046576,             0.65712,             0.70403,             0.77398,             0.57742,            0.031311,            0.012267,            0.033774,            0.006997,            0.006997,            0.006997
                  93,            0.022865,           0.0048656,           0.0052705,             0.71212,             0.72187,             0.76188,             0.59618,            0.027934,            0.014355,            0.031146,            0.006964,            0.006964,            0.006964
                  94,             0.02161,           0.0042819,           0.0061087,             0.71133,             0.69934,             0.77178,             0.60522,            0.027523,            0.012214,            0.035376,            0.006931,            0.006931,            0.006931
                  95,            0.020757,           0.0045831,           0.0071368,              0.8646,             0.61241,             0.81547,             0.60363,            0.030111,            0.010694,            0.031265,            0.006898,            0.006898,            0.006898
                  96,             0.02174,           0.0047621,            0.006511,             0.85092,             0.57259,             0.80373,             0.60189,            0.028503,            0.010307,            0.029929,            0.006865,            0.006865,            0.006865
                  97,            0.022136,           0.0046229,           0.0063731,              0.7476,             0.62658,             0.78863,             0.56071,            0.032346,            0.010473,            0.033371,            0.006832,            0.006832,            0.006832
                  98,            0.022274,           0.0049647,           0.0069986,             0.76923,             0.64178,             0.77896,             0.58827,            0.029104,              0.0108,            0.037399,            0.006799,            0.006799,            0.006799
                  99,            0.021325,           0.0045837,           0.0055758,             0.66924,              0.7075,             0.77733,             0.55076,            0.030658,             0.01222,            0.032126,            0.006766,            0.006766,            0.006766
                 100,            0.022201,           0.0045856,           0.0056577,             0.59009,             0.68467,             0.72219,             0.57846,            0.027133,            0.011603,            0.046948,            0.006733,            0.006733,            0.006733
                 101,            0.021473,           0.0047155,           0.0056006,              0.7301,             0.55299,             0.70857,             0.55083,            0.027595,            0.010927,            0.048138,              0.0067,              0.0067,              0.0067
                 102,             0.01985,           0.0044461,           0.0045607,             0.79551,             0.65268,             0.78566,             0.61392,            0.028675,             0.01139,            0.032657,            0.006667,            0.006667,            0.006667
                 103,            0.021142,           0.0044421,           0.0054396,             0.78733,             0.68244,             0.79653,             0.60877,            0.028441,            0.012968,            0.030881,            0.006634,            0.006634,            0.006634
                 104,            0.021188,           0.0043685,            0.005122,              0.7897,             0.65066,             0.76887,             0.59897,            0.029439,            0.012371,            0.034836,            0.006601,            0.006601,            0.006601
                 105,            0.021038,            0.004499,           0.0048893,               0.801,             0.57766,             0.75029,              0.5728,            0.032172,            0.010533,            0.043039,            0.006568,            0.006568,            0.006568
                 106,            0.021451,           0.0044872,           0.0051449,             0.77672,             0.61831,             0.72169,             0.54823,             0.02834,            0.010347,            0.043057,            0.006535,            0.006535,            0.006535
                 107,            0.020685,           0.0045035,            0.005537,             0.83007,             0.63094,              0.7726,             0.61357,            0.027406,            0.011342,            0.038681,            0.006502,            0.006502,            0.006502
                 108,            0.019859,           0.0044468,           0.0052014,              0.7717,             0.64635,             0.75499,             0.54718,            0.030296,            0.014235,            0.029938,            0.006469,            0.006469,            0.006469
                 109,            0.020899,           0.0045006,           0.0041369,             0.85704,              0.5794,             0.74463,             0.59722,            0.028898,            0.015885,            0.029384,            0.006436,            0.006436,            0.006436
                 110,            0.020073,           0.0041152,           0.0044071,             0.87088,             0.57719,             0.74301,             0.58247,            0.027445,            0.015089,            0.034836,            0.006403,            0.006403,            0.006403
                 111,            0.020738,           0.0042335,           0.0041089,             0.69203,             0.73414,             0.76501,              0.5587,            0.030413,            0.012778,            0.030167,             0.00637,             0.00637,             0.00637
                 112,             0.02071,           0.0041763,           0.0037056,             0.74562,              0.7155,             0.75948,               0.607,            0.026536,            0.011972,            0.031018,            0.006337,            0.006337,            0.006337
                 113,            0.020392,           0.0045326,           0.0046219,             0.84847,             0.60473,             0.77504,             0.58258,            0.031578,            0.011946,            0.029416,            0.006304,            0.006304,            0.006304
                 114,            0.021001,           0.0044105,           0.0047261,             0.85507,             0.63469,             0.76928,              0.5997,            0.026204,            0.011487,            0.030652,            0.006271,            0.006271,            0.006271
                 115,            0.020057,           0.0042296,           0.0059627,             0.70755,             0.74401,             0.78894,              0.6201,            0.026665,            0.011269,            0.035284,            0.006238,            0.006238,            0.006238
                 116,            0.019875,            0.004344,           0.0053847,             0.75522,             0.66319,             0.77416,             0.61854,            0.026977,             0.01242,            0.032153,            0.006205,            0.006205,            0.006205
                 117,            0.020776,           0.0042154,           0.0042874,             0.82274,             0.67723,             0.74426,              0.5737,            0.028018,            0.011759,            0.034067,            0.006172,            0.006172,            0.006172
                 118,            0.018059,           0.0044085,           0.0061677,             0.84409,             0.59491,             0.74561,             0.58066,            0.029388,            0.011404,            0.035495,            0.006139,            0.006139,            0.006139
                 119,            0.019059,           0.0042511,           0.0068473,             0.75567,             0.66704,             0.73766,             0.54987,            0.029494,            0.011227,            0.036346,            0.006106,            0.006106,            0.006106
                 120,            0.019627,           0.0042771,           0.0041104,             0.80769,             0.70005,             0.80539,             0.62812,            0.026892,             0.01071,            0.032437,            0.006073,            0.006073,            0.006073
                 121,            0.021743,           0.0043927,           0.0043595,             0.79009,             0.71484,             0.80712,             0.59929,            0.029433,            0.010926,            0.034891,             0.00604,             0.00604,             0.00604
                 122,            0.019924,           0.0042413,           0.0045282,             0.74127,             0.72116,             0.81321,             0.63457,            0.026888,            0.011308,            0.033893,            0.006007,            0.006007,            0.006007
                 123,            0.019683,           0.0041706,            0.003617,             0.71529,             0.74412,             0.78842,             0.57421,            0.030152,            0.010836,            0.034781,            0.005974,            0.005974,            0.005974
                 124,            0.019429,           0.0041791,           0.0032057,             0.76999,             0.72613,             0.77222,             0.59251,            0.027812,            0.010858,            0.035861,            0.005941,            0.005941,            0.005941
                 125,            0.019668,           0.0047521,           0.0040499,             0.76705,             0.74348,             0.76254,             0.57406,             0.02903,            0.010863,            0.035898,            0.005908,            0.005908,            0.005908
                 126,            0.018567,            0.004114,           0.0035201,             0.82304,             0.68442,             0.76748,             0.60805,            0.026684,            0.011332,             0.03577,            0.005875,            0.005875,            0.005875
                 127,            0.018409,            0.004145,           0.0048303,              0.7124,             0.67878,             0.73215,             0.58099,            0.027321,            0.012144,            0.036209,            0.005842,            0.005842,            0.005842
                 128,            0.018521,           0.0041075,           0.0051714,             0.77562,             0.64878,             0.74777,             0.60237,            0.026677,            0.011824,            0.038324,            0.005809,            0.005809,            0.005809
                 129,            0.017968,           0.0039564,           0.0038804,             0.76177,              0.6708,             0.76826,             0.61811,            0.026539,            0.011548,            0.038251,            0.005776,            0.005776,            0.005776
                 130,             0.01787,           0.0042001,           0.0037939,             0.74657,             0.69062,             0.76526,             0.59607,            0.025895,            0.011749,            0.037436,            0.005743,            0.005743,            0.005743
                 131,            0.019069,           0.0041702,           0.0032007,             0.70586,             0.64433,             0.74168,             0.59451,            0.027307,            0.014628,             0.03642,             0.00571,             0.00571,             0.00571
                 132,            0.018103,           0.0039145,           0.0039742,             0.69151,             0.65912,             0.75377,             0.60443,            0.026796,            0.014538,            0.034479,            0.005677,            0.005677,            0.005677
                 133,            0.017358,           0.0041327,           0.0039054,             0.75885,             0.64226,             0.79226,              0.6236,             0.02636,            0.012207,            0.034177,            0.005644,            0.005644,            0.005644
                 134,            0.018527,           0.0039866,           0.0038072,              0.6985,             0.74342,             0.77141,             0.60676,            0.025663,            0.010887,            0.036566,            0.005611,            0.005611,            0.005611
                 135,            0.018292,           0.0042006,           0.0037004,             0.83453,             0.62482,             0.78263,             0.61088,            0.029223,            0.010692,            0.037244,            0.005578,            0.005578,            0.005578
                 136,            0.017549,           0.0038913,           0.0045885,             0.72158,             0.69865,             0.78017,             0.62296,            0.025928,            0.011169,             0.03761,            0.005545,            0.005545,            0.005545
                 137,            0.018072,           0.0042832,           0.0031626,             0.83185,             0.59752,             0.76055,             0.60874,            0.026132,            0.011174,            0.037079,            0.005512,            0.005512,            0.005512
                 138,            0.018606,           0.0041978,           0.0031669,               0.696,             0.74042,             0.76255,             0.59669,            0.028039,               0.011,            0.037235,            0.005479,            0.005479,            0.005479
                 139,            0.018055,           0.0039028,           0.0033912,             0.76888,             0.64161,              0.7473,             0.57675,            0.028762,            0.010049,             0.03674,            0.005446,            0.005446,            0.005446
                 140,            0.018961,           0.0042267,           0.0026564,             0.77283,             0.62352,             0.73803,             0.58676,            0.026603,           0.0099281,            0.036374,            0.005413,            0.005413,            0.005413
                 141,            0.019093,           0.0038374,           0.0032828,             0.77181,              0.7188,             0.75912,             0.58841,            0.027202,           0.0097396,            0.035248,             0.00538,             0.00538,             0.00538
                 142,            0.018153,           0.0042458,           0.0031203,             0.82058,             0.70895,              0.7503,             0.54922,            0.028121,            0.010331,            0.035834,            0.005347,            0.005347,            0.005347
